,Title,Author,Main Genre,Sub Genre,Type,Price,Rating,Number_people_rated,URLs,Rating category
339,doglapan hard truth life start ups,ASHNEER GROVER,Business & Economics,Analysis & Strategy,Hardcover,254.0,4.3,3090.0,https://www.amazon.in/Doglapan-Hard-Truth-about-Start-Ups/dp/067009711X/ref=zg_bs_g_1318070031_d_sccl_10/000-0000000-0000000?psc=1,Good
340,make money breakout trading simple stock market book beginner secret becoming intelligent investor price action trading subconscious mind power,Indrazith Shantharaj,Business & Economics,Analysis & Strategy,Paperback,233.0,4.3,2908.0,https://www.amazon.in/Make-Money-through-Breakout-Trading/dp/9355430558/ref=zg_bs_g_1318070031_d_sccl_11/000-0000000-0000000?psc=1,Good
341,share market book श न य स स ख श यर ब ज र ह द म stock market learning book,vaibhav khare,Business & Economics,Analysis & Strategy,Staple Bound,185.0,4.2,84.0,https://www.amazon.in/Share-Market-%E0%A4%B6%E0%A5%82%E0%A4%A8%E0%A5%8D%E0%A4%AF-%E0%A4%AC%E0%A4%BE%E0%A4%9C%E0%A4%BC%E0%A4%BE%E0%A4%B0-Learning/dp/B0BYL7JYR4/ref=zg_bs_g_1318070031_d_sccl_12/000-0000000-0000000?psc=1,Good
342,shoe dog,Phil Knight,Business & Economics,Analysis & Strategy,Paperback,321.0,4.6,58096.0,https://www.amazon.in/Shoe-Dog-Memoir-Creator-NIKE/dp/1471146723/ref=zg_bs_g_1318070031_d_sccl_13/000-0000000-0000000?psc=1,Good
343,start,SINEK SIMON,Business & Economics,Analysis & Strategy,Paperback,399.0,4.5,22568.0,https://www.amazon.in/Start-Why-Leaders-Inspire-Everyone/dp/0241958229/ref=zg_bs_g_1318070031_d_sccl_14/000-0000000-0000000?psc=1,Good
344,influence psychology persuasion new expanded,PhD Robert B. Cialdini,Business & Economics,Analysis & Strategy,Paperback,499.0,4.6,4661.0,https://www.amazon.in/Influence-Psychology-Persuasion-New-Expanded/dp/0063138808/ref=zg_bs_g_1318070031_d_sccl_15/000-0000000-0000000?psc=1,Good
345,secret pivot bos revealing proven method profiting market,Frank O Ochoa,Business & Economics,Analysis & Strategy,Paperback,220.0,4.4,1339.0,https://www.amazon.in/Secrets-Pivot-Boss-Revealing-Profiting/dp/0615391273/ref=zg_bs_g_1318070031_d_sccl_16/000-0000000-0000000?psc=1,Good
346,psychology money,Morgan Housel,Business & Economics,Analysis & Strategy,Kindle Edition,174.8,4.6,59634.0,https://www.amazon.in/Psychology-Money-Morgan-Housel-ebook/dp/B08FHZ5L47/ref=zg_bs_g_1318070031_d_sccl_17/000-0000000-0000000?psc=1,Good
347,never split difference negotiating life depended,Chris Voss,Business & Economics,Analysis & Strategy,Paperback,325.0,4.6,41015.0,https://www.amazon.in/Never-Split-Difference-Negotiating-Depended/dp/1847941494/ref=zg_bs_g_1318070031_d_sccl_18/000-0000000-0000000?psc=1,Good
348,win friend influence people dale carnegie book,Dale Carnegie,Business & Economics,Analysis & Strategy,Paperback,143.0,4.7,30263.0,https://www.amazon.in/How-Win-Friends-Influence-People/dp/0671027034/ref=zg_bs_g_1318070031_d_sccl_19/000-0000000-0000000?psc=1,Good
349,guide technical analysis candlestick book,Ravi Patel,Business & Economics,Analysis & Strategy,Paperback,230.0,4.1,1262.0,https://www.amazon.in/Guide-Technical-Analysis-Candlesticks-Patel/dp/B00GZMSEDM/ref=zg_bs_g_1318070031_d_sccl_20/000-0000000-0000000?psc=1,Good
350,power subconscious mind,Joseph Murphy,Business & Economics,Economics,Paperback,99.0,4.5,81265.0,https://www.amazon.in/Power-Your-Subconscious-Mind-Success/dp/8172345666/ref=zg_bs_g_1318069031_d_sccl_1/000-0000000-0000000?psc=1,Good
351,breakout trading made easy maximize profit simple price action strategy,Sunil Gurjar,Business & Economics,Economics,Paperback,299.0,4.8,1408.0,https://www.amazon.in/Breakout-Trading-Made-Easy-Strategies/dp/8119153987/ref=zg_bs_g_1318069031_d_sccl_2/000-0000000-0000000?psc=1,Good
352,think grow rich pb,Napoleon Hill,Business & Economics,Economics,Paperback,99.0,4.4,74253.0,https://www.amazon.in/Think-Grow-Rich-Napoleon-Hill/dp/9353338158/ref=zg_bs_g_1318069031_d_sccl_3/000-0000000-0000000?psc=1,Good
353,world greatest book personal growth wealth set 4 book perfect motivational gift set,Dale Carnegie,Business & Economics,Economics,Paperback,339.0,4.5,25779.0,https://www.amazon.in/Worlds-Greatest-Personal-Growth-Wealth/dp/9389432014/ref=zg_bs_g_1318069031_d_sccl_4/000-0000000-0000000?psc=1,Good
354,think grow rich hindi,Napoleon Hill,Business & Economics,Economics,Paperback,99.0,4.4,10485.0,https://www.amazon.in/Think-Grow-Rich-Hindi-Napoleon/dp/8175993561/ref=zg_bs_g_1318069031_d_sccl_5/000-0000000-0000000?psc=1,Good
355,ever timeless lesson risk opportunity living good life,Morgan Housel,Business & Economics,Economics,Paperback,297.0,4.4,1473.0,https://www.amazon.in/Same-As-Ever-Timeless-Opportunity/dp/1804090948/ref=zg_bs_g_1318069031_d_sccl_6/000-0000000-0000000?psc=1,Good
356,zero one l,Peter Thiel,Business & Economics,Economics,Paperback,385.0,4.5,30431.0,https://www.amazon.in/Zero-One-Start-Build-Future/dp/0753555190/ref=zg_bs_g_1318069031_d_sccl_7/000-0000000-0000000?psc=1,Good
357,richest man babylon fingerprint,George S. Clason,Business & Economics,Economics,Paperback,99.0,4.5,11210.0,https://www.amazon.in/Richest-Man-Babylon-George-Clason/dp/9388144317/ref=zg_bs_g_1318069031_d_sccl_8/000-0000000-0000000?psc=1,Good
358,intelligent investor english paperback 2013,Benjamin Graham,Business & Economics,Economics,Paperback,581.0,4.5,45519.0,https://www.amazon.in/Intelligent-Investor-English-Paperback-2013/dp/0062312685/ref=zg_bs_g_1318069031_d_sccl_9/000-0000000-0000000?psc=1,Good
359,dhan sampatti ka manovigyan psychology money,Morgan Housel,Business & Economics,Economics,Paperback,144.95,4.3,3264.0,https://www.amazon.in/Dhan-Sampatti-Manovigyan-Psychology-Money/dp/9390166845/ref=zg_bs_g_1318069031_d_sccl_10/000-0000000-0000000?psc=1,Good
360,think grow rich 21st century edition,Napoleon Hill,Business & Economics,Economics,Paperback,99.0,4.5,5379.0,https://www.amazon.in/Think-Grow-Rich-21st-CENTURY/dp/9389931525/ref=zg_bs_g_1318069031_d_sccl_11/000-0000000-0000000?psc=1,Good
361,man thinketh,James Allen,Business & Economics,Economics,Paperback,69.0,4.4,12254.0,https://www.amazon.in/As-Man-Thinketh-James-Allen/dp/9386538172/ref=zg_bs_g_1318069031_d_sccl_12/000-0000000-0000000?psc=1,Good
362,trading chart pattern book includes candlestick pattern breakout pattern entry exit point indicator trading volume risk management many trading book basic advance award winning book pattern explained detail,Hivex Publication,Business & Economics,Economics,Paperback,169.0,4.5,804.0,https://www.amazon.in/Candlestick-Indicators-Entry-Exit-Management-Destination/dp/B0BWL2BQGS/ref=zg_bs_g_1318069031_d_sccl_13/000-0000000-0000000?psc=1,Good
363,hindi trading candlestick chart pattern book includes candlestick breakout pattern indicator risk management entry exit price action,Pixelpage Experts,Business & Economics,Economics,Perfect Paperback,149.0,3.3,5.0,https://www.amazon.in/Hindi-Candlesticks-Candlestick-Indicators-Management/dp/B0CQPHL9JG/ref=zg_bs_g_1318069031_d_sccl_14/000-0000000-0000000?psc=1,Good
364,breaking mould reimagining india economic future,Raghuram Rajan,Business & Economics,Economics,Hardcover,579.0,4.5,153.0,https://www.amazon.in/Breaking-Mould-Reimagining-Indias-Economic/dp/0670099899/ref=zg_bs_g_1318069031_d_sccl_15/000-0000000-0000000?psc=1,Good
365,richest man babylon pb,George S. Clason,Business & Economics,Economics,Paperback,99.0,4.5,33177.0,https://www.amazon.in/RICHEST-MAN-BABYLON-George-Clason/dp/9355200552/ref=zg_bs_g_1318069031_d_sccl_16/000-0000000-0000000?psc=1,Good
366,indian economy upsc english 15th edition civil service exam state administrative exam,Ramesh Singh,Business & Economics,Economics,Paperback,578.0,4.4,342.0,https://www.amazon.in/Indian-Economy-English-Services-Administrative/dp/9355324340/ref=zg_bs_g_1318069031_d_sccl_17/000-0000000-0000000?psc=1,Good
367,coffee investing low risk road,"Rakshit; Uni Mukherjea, Saurabh; Ranjan",Business & Economics,Economics,Hardcover,331.0,4.5,4923.0,https://www.amazon.in/Coffee-Can-Investing-Stupendous-Wealth/dp/067009045X/ref=zg_bs_g_1318069031_d_sccl_18/000-0000000-0000000?psc=1,Good
368,let talk money worked hard make work,Monika Halan,Business & Economics,Economics,Paperback,289.0,4.6,3731.0,https://www.amazon.in/Lets-Talk-Money-Youve-Worked/dp/9352779398/ref=zg_bs_g_1318069031_d_sccl_19/000-0000000-0000000?psc=1,Good
369,hindi book price action trading technical analysis hindi sunil gurjar chartmojo chart pattern candlestick pattern breakout pattern lot,Sunil Gurjar (Chartmojo),Business & Economics,Economics,Paperback,335.0,4.1,280.0,https://www.amazon.in/Hindi-Action-Trading-Technical-Analysis/dp/8195840604/ref=zg_bs_g_1318069031_d_sccl_20/000-0000000-0000000?psc=1,Good
370,chanakya neeti english pb,B.K. Chaturvedi,Business & Economics,Economics,Paperback,110.0,4.2,3738.0,https://www.amazon.in/Chanakya-Neeti-B-K-Chaturvedi/dp/8128400487/ref=zg_bs_g_1318069031_d_sccl_21/000-0000000-0000000?psc=1,Good
371,objective computer awareness,Arihant Experts,Business & Economics,Economics,Paperback,90.0,4.2,890.0,https://www.amazon.in/Objective-Computer-Awareness-Arihant-Experts/dp/9325794179/ref=zg_bs_g_1318069031_d_sccl_22/000-0000000-0000000?psc=1,Good
372,option trading handbook,Mahesh Chandra Kaushik,Business & Economics,Economics,Paperback,155.0,4.0,1338.0,https://www.amazon.in/Option-Trading-Handbook-Chandra-Kaushik/dp/9390378540/ref=zg_bs_g_1318069031_d_sccl_23/000-0000000-0000000?psc=1,Good
373,think grow rich,Napoleon Hill,Business & Economics,Economics,Audible Audiobook,166.0,4.4,74253.0,https://www.amazon.in/Think-and-Grow-Rich/dp/B07BN7GBW2/ref=zg_bs_g_1318069031_d_sccl_24/000-0000000-0000000?psc=1,Good
374,start prepare make startup dream reality,Pankaj Goyal,Business & Economics,Economics,Paperback,174.0,4.3,2425.0,https://www.amazon.in/Before-You-Start-Up-Prepare/dp/8175994401/ref=zg_bs_g_1318069031_d_sccl_25/000-0000000-0000000?psc=1,Good
375,blue ocean strategy expanded edition,W. Chan Kim,Business & Economics,Economics,Paperback,260.0,4.6,5109.0,https://www.amazon.in/Blue-Ocean-Strategy-Expanded-Chan/dp/B0CSH466XV/ref=zg_bs_g_1318069031_d_sccl_26/000-0000000-0000000?psc=1,Good
376,talk like ted 9 public speaking secret world top mind,Carmine Gallo,Business & Economics,Economics,Paperback,390.0,4.5,3593.0,https://www.amazon.in/Talk-Like-TED-Speaking-Secrets/dp/1529068657/ref=zg_bs_g_1318069031_d_sccl_27/000-0000000-0000000?psc=1,Good
377,communist manifesto,Karl Marx,Business & Economics,Economics,Paperback,98.0,4.4,11916.0,https://www.amazon.in/Communist-Manifesto-Karl-Marx/dp/9386538253/ref=zg_bs_g_1318069031_d_sccl_28/000-0000000-0000000?psc=1,Good
378,learned investing darw,Pulak Prasad,Business & Economics,Economics,Hardcover,544.0,4.7,561.0,https://www.amazon.in/What-Learned-About-Investing-Darw/dp/0231213506/ref=zg_bs_g_1318069031_d_sccl_29/000-0000000-0000000?psc=1,Good
379,babylon ka sabse ameer aadami richest man babylon hindi,George S. Clason,Business & Economics,Economics,Paperback,109.0,4.5,4846.0,https://www.amazon.in/Babylon-Sabse-Ameer-Aadami-Richest/dp/9389717094/ref=zg_bs_g_1318069031_d_sccl_30/000-0000000-0000000?psc=1,Good
380,joy compounding passionate pursuit lifelong learning,Gautam Baid,Business & Economics,Economics,Paperback,399.0,4.6,2105.0,https://www.amazon.in/Joys-Compounding-Passionate-Lifelong-Learning/dp/9390351014/ref=zg_bs_g_1318069031_d_sccl_1/000-0000000-0000000?psc=1,Good
381,breaking mould reimagining india economic future,Raghuram Rajan,Business & Economics,Economics,Audible Audiobook,879.0,4.5,153.0,https://www.amazon.in/Breaking-Mould-Reimagining-Indias-Economic/dp/B0CQ5KPLFZ/ref=zg_bs_g_1318069031_d_sccl_2/000-0000000-0000000?psc=1,Good
382,power subconscious mind,Joseph Murphy,Business & Economics,Economics,Kindle Edition,103.95,4.5,1085.0,https://www.amazon.in/Power-Your-Subconscious-Mind-ebook/dp/B096FWZ78R/ref=zg_bs_g_1318069031_d_sccl_3/000-0000000-0000000?psc=1,Good
383,reminiscence stock operator,Edwin Lefèvre,Business & Economics,Economics,Paperback,302.0,4.4,3940.0,https://www.amazon.in/Reminiscences-Stock-Operator-Edwin-Lef%C3%A8vre/dp/9386867753/ref=zg_bs_g_1318069031_d_sccl_4/000-0000000-0000000?psc=1,Good
384,wealth nation,Adam Smith,Business & Economics,Economics,Paperback,449.0,4.5,2048.0,https://www.amazon.in/Wealth-Nations-Adam-Smith/dp/9387779467/ref=zg_bs_g_1318069031_d_sccl_5/000-0000000-0000000?psc=1,Good
385,avoid loss earn consistently stock market easy understand practical guide every investor,Prasenjit Paul,Business & Economics,Economics,Paperback,399.0,4.4,6432.0,https://www.amazon.in/Avoid-Consistently-Stock-Market-Understand/dp/1482850885/ref=zg_bs_g_1318069031_d_sccl_6/000-0000000-0000000?psc=1,Good
386,goshta paishapanyachi master finance comprehensive guide financial literacy smart money management,Prafulla Wankhede,Business & Economics,Economics,Perfect Paperback,232.0,4.5,1109.0,https://www.amazon.in/Goshta-Paishapanyachi-Prafulla-Wankhede/dp/9389834848/ref=zg_bs_g_1318069031_d_sccl_7/000-0000000-0000000?psc=1,Good
387,develop self confidence influence people public speaking,Dale Carnegie,Business & Economics,Economics,Paperback,119.0,4.4,5134.0,https://www.amazon.in/Develop-Self-Confidence-Influence-People-Speaking/dp/817599472X/ref=zg_bs_g_1318069031_d_sccl_8/000-0000000-0000000?psc=1,Good
388,intelligent investor hindi,Benjamin Graham,Business & Economics,Economics,Paperback,476.0,4.3,1551.0,https://www.amazon.in/Intelligent-Investor-Hindi-Benjamin-Graham/dp/9390924219/ref=zg_bs_g_1318069031_d_sccl_9/000-0000000-0000000?psc=1,Good
389,think grow rich original edition premium paperback,Napoleon Hill,Business & Economics,Economics,Paperback,99.0,4.4,74253.0,https://www.amazon.in/Think-Grow-Rich-Napoleon-Hill/dp/8194790883/ref=zg_bs_g_1318069031_d_sccl_10/000-0000000-0000000?psc=1,Good
390,material world substantial story past future,Ed Conway,Business & Economics,Economics,Paperback,676.0,4.7,702.0,https://www.amazon.in/Material-World-Substantial-Story-Future/dp/0753559161/ref=zg_bs_g_1318069031_d_sccl_11/000-0000000-0000000?psc=1,Good
391,option trading se paison ka ped kaise lagayen,Mahesh Chander Kaushik,Business & Economics,Economics,Perfect Paperback,154.5,3.9,1034.0,https://www.amazon.in/Option-Trading-Paison-Kaise-Lagayen/dp/9390378931/ref=zg_bs_g_1318069031_d_sccl_12/000-0000000-0000000?psc=1,Good
392,reminiscence stock operator,Edwin Lefevre,Business & Economics,Economics,Kindle Edition,42.7,4.4,3940.0,https://www.amazon.in/Reminiscences-Stock-Operator-Edwin-Lefevre-ebook/dp/B09YRCNQHB/ref=zg_bs_g_1318069031_d_sccl_13/000-0000000-0000000?psc=1,Good
393,think grow rich napoleon hill hardcover international bestseller book,Napoleon Hill,Business & Economics,Economics,Hardcover,0.01,4.4,74253.0,https://www.amazon.in/Think-Napoleon-Hardcover-International-Bestseller/dp/9391626149/ref=zg_bs_g_1318069031_d_sccl_14/000-0000000-0000000?psc=1,Good
394,psychology money gujarati,Morgan Housel,Business & Economics,Economics,Paperback,198.0,4.5,742.0,https://www.amazon.in/Psychology-Money-Gujarati-Morgan-Housel/dp/9390166837/ref=zg_bs_g_1318069031_d_sccl_15/000-0000000-0000000?psc=1,Good
395,power focus achieving goal clarity determination best selling book time hindi edition,JACK CANFIELD,Business & Economics,Economics,Kindle Edition,61.95,4.4,396.0,https://www.amazon.in/Power-Focus-Achieving-Clarity-Determination-ebook/dp/B0816R9DJ3/ref=zg_bs_g_1318069031_d_sccl_16/000-0000000-0000000?psc=1,Good
396,corporate chanakya 10th anniversary edition,Radhakrishnan Pillai,Business & Economics,Economics,Paperback,250.0,4.4,2451.0,https://www.amazon.in/Corporate-Chanakya-Radhakrishnan-Pillai/dp/8184951337/ref=zg_bs_g_1318069031_d_sccl_17/000-0000000-0000000?psc=1,Good
397,mastering market cycle getting odds side,Howard Marks,Business & Economics,Economics,Paperback,545.0,4.4,2745.0,https://www.amazon.in/Mastering-Market-Cycle-Getting-odds/dp/1473695686/ref=zg_bs_g_1318069031_d_sccl_18/000-0000000-0000000?psc=1,Good
398,romancing balance sheet second edition,Dr Anil Lamba,Business & Economics,Economics,Hardcover,665.0,4.5,1693.0,https://www.amazon.in/Romancing-Balance-Sheet-Manages-Business/dp/9350294311/ref=zg_bs_g_1318069031_d_sccl_19/000-0000000-0000000?psc=1,Good
399,arthashastra penguin classic,Kautilya,Business & Economics,Economics,Paperback,471.0,4.5,1452.0,https://www.amazon.in/Arthashastra-Kautilya/dp/0140446036/ref=zg_bs_g_1318069031_d_sccl_20/000-0000000-0000000?psc=1,Good
400,body doctor life saving tip,Dr. Shiv K Sarin,Business & Economics,Industries,Paperback,335.0,5.0,4.0,https://www.amazon.in/Own-Your-Body-Doctors-Life-Saving/dp/935640030X/ref=zg_bs_g_1318071031_d_sccl_1/000-0000000-0000000?psc=1,Good
401,communication book,Mikael Krogerus,Business & Economics,Industries,Hardcover,198.0,4.2,951.0,https://www.amazon.in/Communication-Book-Mikael-Krogerus/dp/0241982286/ref=zg_bs_g_1318071031_d_sccl_2/000-0000000-0000000?psc=1,Good
402,shoe dog,Phil Knight,Business & Economics,Industries,Paperback,321.0,4.6,58096.0,https://www.amazon.in/Shoe-Dog-Memoir-Creator-NIKE/dp/1471146723/ref=zg_bs_g_1318071031_d_sccl_3/000-0000000-0000000?psc=1,Good
403,millionaire fastlane crack code wealth live rich lifetime,MJ DeMarco,Business & Economics,Industries,Paperback,283.0,4.6,12237.0,https://www.amazon.in/Millionaire-Fastlane-Crack-Wealth-Lifetime/dp/9390085497/ref=zg_bs_g_1318071031_d_sccl_4/000-0000000-0000000?psc=1,Good
404,one wall street learn earn beating street set 3 book peter lynch,"""AMAZINGBUY21""",Business & Economics,Industries,Paperback,335.0,4.3,397.0,https://www.amazon.in/Street-Learn-Beating-books-Peter/dp/B08KXX4PF5/ref=zg_bs_g_1318071031_d_sccl_5/000-0000000-0000000?psc=1,Good
405,grit l,Angela Duckworth,Business & Economics,Industries,Paperback,399.0,4.5,18186.0,https://www.amazon.in/Grit-passion-resilience-secrets-success/dp/1785040200/ref=zg_bs_g_1318071031_d_sccl_6/000-0000000-0000000?psc=1,Good
406,lean startup constant innovation creates radically successful business paperback ries eric,RIES ERIC,Business & Economics,Industries,Paperback,582.98,4.5,13608.0,https://www.amazon.in/Lean-Startup-Innovation-Successful-Businesses/dp/0670921602/ref=zg_bs_g_1318071031_d_sccl_7/000-0000000-0000000?psc=1,Good
407,hooked,Nir Eyal,Business & Economics,Industries,Hardcover,453.0,4.6,7474.0,https://www.amazon.in/HOOKED-Nir-Eyal/dp/0241184835/ref=zg_bs_g_1318071031_d_sccl_8/000-0000000-0000000?psc=1,Good
408,chip war,Chris Miller,Business & Economics,Industries,Paperback,575.0,4.7,5610.0,https://www.amazon.in/Chip-War-Dominate-Critical-Technology/dp/1398504106/ref=zg_bs_g_1318071031_d_sccl_9/000-0000000-0000000?psc=1,Good
409,measure matter,John Doerr,Business & Economics,Industries,Paperback,600.69,4.5,8656.0,https://www.amazon.in/Measure-What-Matters-John-Doerr/dp/024134848X/ref=zg_bs_g_1318071031_d_sccl_10/000-0000000-0000000?psc=1,Good
410,adapt thrive survive,Harit Nagpal,Business & Economics,Industries,Hardcover,399.0,4.8,23.0,https://www.amazon.in/Adapt-Thrive-not-just-Survive/dp/9360452963/ref=zg_bs_g_1318071031_d_sccl_11/000-0000000-0000000?psc=1,Good
411,invisible woman sunday time number one bestseller exposing gender bias woman face every day,Caroline Criado Perez,Business & Economics,Industries,Paperback,401.0,4.6,11092.0,https://www.amazon.in/Invisible-Women-Exposing-World-Designed/dp/1784706280/ref=zg_bs_g_1318071031_d_sccl_12/000-0000000-0000000?psc=1,Good
412,man solved market jim simon launched quant revolution shortlisted ft mckinsey business book year award 2019,Gregory Zuckerman,Business & Economics,Industries,Paperback,719.0,4.4,4313.0,https://www.amazon.in/Man-Who-Solved-Market-Revolution/dp/0241309727/ref=zg_bs_g_1318071031_d_sccl_13/000-0000000-0000000?psc=1,Good
413,industry handbook,Zebra Learn,Business & Economics,Industries,Hardcover,1490.0,4.2,149.0,https://www.amazon.in/Industry-Handbook-Zebra-Learn/dp/B0BLBTXSTG/ref=zg_bs_g_1318071031_d_sccl_14/000-0000000-0000000?psc=1,Good
414,elon musk,Ashlee Vance,Business & Economics,Industries,Audible Audiobook,820.0,4.5,31987.0,https://www.amazon.in/Elon-Musk/dp/B079WTJ4F2/ref=zg_bs_g_1318071031_d_sccl_15/000-0000000-0000000?psc=1,Good
415,designing data intensive application big idea behind reliable scalable maintainable system,Martin Kleppmann,Business & Economics,Industries,Audible Audiobook,1675.0,4.7,2422.0,https://www.amazon.in/Designing-Data-Intensive-Applications-Reliable-Maintainable/dp/B08VKSRFFT/ref=zg_bs_g_1318071031_d_sccl_16/000-0000000-0000000?psc=1,Good
416,stdy gt technical analysis financial mar,John J. Murphy,Business & Economics,Industries,Paperback,989.0,3.0,774.0,https://www.amazon.in/Technical-Analysis-Financial-Markets-Institute/dp/0735200653/ref=zg_bs_g_1318071031_d_sccl_17/000-0000000-0000000?psc=1,Bad
417,world sale,Jack Farchy,Business & Economics,Industries,Paperback,401.0,4.6,2766.0,https://www.amazon.in/World-Sale-Traders-Barter-Resources/dp/1847942679/ref=zg_bs_g_1318071031_d_sccl_18/000-0000000-0000000?psc=1,Good
418,entrepreneurial state debunking public v private sector myth,Mariana Mazzucato,Business & Economics,Industries,Paperback,406.25,4.4,733.0,https://www.amazon.in/Entrepreneurial-State-Debunking-Public-Private/dp/0141986107/ref=zg_bs_g_1318071031_d_sccl_19/000-0000000-0000000?psc=1,Good
419,unreasonable hospitality remarkable power giving people expect,Will Guidara,Business & Economics,Industries,Paperback,449.0,4.8,1959.0,https://www.amazon.in/Unreasonable-Hospitality-Remarkable-Giving-People/dp/1529146828/ref=zg_bs_g_1318071031_d_sccl_20/000-0000000-0000000?psc=1,Good
420,everyday ayurveda hindi,BHASWATI BHATTACHARYA,Business & Economics,Industries,Paperback,205.0,3.9,65.0,https://www.amazon.in/Everyday-Ayurveda-Bhaswati-Bhattacharya/dp/0143429868/ref=zg_bs_g_1318071031_d_sccl_21/000-0000000-0000000?psc=1,Good
421,great indian cricket circus amazing fact stats everything,Joy Bhattacharjya,Business & Economics,Industries,Paperback,406.25,4.6,34.0,https://www.amazon.in/Great-Indian-Cricket-Circus-Everything/dp/9356991154/ref=zg_bs_g_1318071031_d_sccl_22/000-0000000-0000000?psc=1,Good
422,metabolical,Dr Robert Lustig,Business & Economics,Industries,Paperback,500.0,4.6,3779.0,https://www.amazon.in/METABOLICAL-Dr-Robert-Lustig/dp/1529350077/ref=zg_bs_g_1318071031_d_sccl_23/000-0000000-0000000?psc=1,Good
423,blue ocean strategy expanded edition,Renee A. Mauborgne,Business & Economics,Industries,Hardcover,958.0,4.6,5109.0,https://www.amazon.in/Blue-Ocean-Strategy-Uncontested-Competition/dp/1625274491/ref=zg_bs_g_1318071031_d_sccl_24/000-0000000-0000000?psc=1,Good
424,elon musk b,Ashlee Vance,Business & Economics,Industries,Paperback,395.0,4.5,31987.0,https://www.amazon.in/Elon-Musk-Billionaire-SpaceX-Shaping/dp/0753555646/ref=zg_bs_g_1318071031_d_sccl_25/000-0000000-0000000?psc=1,Good
425,sam walton made america,Sam Walton,Business & Economics,Industries,Mass Market Paperback,267.0,4.4,6847.0,https://www.amazon.in/Sam-Walton-Made-America/dp/0553562835/ref=zg_bs_g_1318071031_d_sccl_26/000-0000000-0000000?psc=1,Good
426,everything store jeff bezos age amazon,Brad Stone,Business & Economics,Industries,Paperback,404.0,4.5,11834.0,https://www.amazon.in/Everything-Store-Jeff-Bezos-Amazon/dp/0552167835/ref=zg_bs_g_1318071031_d_sccl_27/000-0000000-0000000?psc=1,Good
427,mind consultant leveraging consulting mindset professional success,Sandeep K. Krishnan,Business & Economics,Industries,Hardcover,406.25,4.4,137.0,https://www.amazon.in/Mind-Consultant-Leveraging-Consulting-Professional/dp/0670093947/ref=zg_bs_g_1318071031_d_sccl_28/000-0000000-0000000?psc=1,Good
428,final farewell understanding last rite ritual india major faith,Minakshi Dewan,Business & Economics,Industries,Paperback,324.0,4.8,26.0,https://www.amazon.in/Final-Farewell-Understanding-Rituals-Indias/dp/9356994781/ref=zg_bs_g_1318071031_d_sccl_29/000-0000000-0000000?psc=1,Good
429,bhujia baron untold story haldiram built r 5000 crore empire,PAVITRA KUMAR,Business & Economics,Industries,Paperback,272.0,4.0,525.0,https://www.amazon.in/Bhujia-Barons-Untold-Haldiram-Empire/dp/8184007558/ref=zg_bs_g_1318071031_d_sccl_30/000-0000000-0000000?psc=1,Good
430,communication book 44 idea better conversation every day,Mikael Krogerus,Business & Economics,Industries,Kindle Edition,185.23,4.2,951.0,https://www.amazon.in/Communication-Book-Ideas-Better-Conversations-ebook/dp/B0762DB43J/ref=zg_bs_g_1318071031_d_sccl_1/000-0000000-0000000?psc=1,Good
431,power progress thousand year struggle technology prosperity,Simon Johnson,Business & Economics,Industries,Paperback,617.0,4.3,285.0,https://www.amazon.in/Power-Progress-Thousand-Year-Technology-Prosperity/dp/1399804464/ref=zg_bs_g_1318071031_d_sccl_2/000-0000000-0000000?psc=1,Good
432,samanya hindi,Onkaar Nath Verma,Business & Economics,Industries,Paperback,110.0,4.2,1444.0,https://www.amazon.in/Samanya-Hindi-Onkaar-Nath-Verma/dp/932529303X/ref=zg_bs_g_1318071031_d_sccl_3/000-0000000-0000000?psc=1,Good
433,lean startup million copy bestseller driving entrepreneur success,Eric Ries,Business & Economics,Industries,Kindle Edition,185.25,4.5,13608.0,https://www.amazon.in/Lean-Startup-Innovation-Successful-Businesses-ebook/dp/B005PR422K/ref=zg_bs_g_1318071031_d_sccl_4/000-0000000-0000000?psc=1,Good
434,working backwards insight story secret inside amazon,Colin Bryar,Business & Economics,Industries,Audible Audiobook,323.0,4.5,2823.0,https://www.amazon.in/Working-Backwards-Insights-Stories-Secrets/dp/B08KSCD25N/ref=zg_bs_g_1318071031_d_sccl_5/000-0000000-0000000?psc=1,Good
435,business school,Robert T Kiyosaki,Business & Economics,Industries,Paperback,227.0,4.4,2107.0,https://www.amazon.in/Business-School-Robert-T-Kiyosaki/dp/818677582X/ref=zg_bs_g_1318071031_d_sccl_6/000-0000000-0000000?psc=1,Good
437,pandeymonium piyush pandey advertising,Piyush Pandey,Business & Economics,Industries,Paperback,334.0,4.5,820.0,https://www.amazon.in/Pandeymonium-Piyush-Pandey-Advertising/dp/0143427652/ref=zg_bs_g_1318071031_d_sccl_8/000-0000000-0000000?psc=1,Good
438,supermarketwala secret winning consumer india,Damodar Mall,Business & Economics,Industries,Paperback,270.0,4.1,194.0,https://www.amazon.in/Supermarketwala-Secrets-Winning-Consumer-India/dp/8184003854/ref=zg_bs_g_1318071031_d_sccl_9/000-0000000-0000000?psc=1,Good
439,hooked build habit forming product,Nir Eyal,Business & Economics,Industries,Kindle Edition,309.3,4.6,7474.0,https://www.amazon.in/Hooked-How-Build-Habit-Forming-Products-ebook/dp/B00NW01MKM/ref=zg_bs_g_1318071031_d_sccl_10/000-0000000-0000000?psc=1,Good
